Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,iso_alpha,text
"
North America
",11967725,7395.0,362361.0,570.0,7823233.0,5535.0,3782131.0,21991.0,0.0,0.0,0.0,0.0,0.0,North America,North America<br>Active Cases 3782131<br>Total Deaths 362361
"
Asia
",14245057,9068.0,252439.0,69.0,12714098.0,6918.0,1278520.0,22853.0,0.0,0.0,0.0,0.0,0.0,Asia,Asia<br>Active Cases 1278520<br>Total Deaths 252439
"
South America
",9924296,142.0,301020.0,13.0,8879872.0,513.0,743404.0,17774.0,0.0,0.0,0.0,0.0,0.0,South America,South America<br>Active Cases 743404<br>Total Deaths 301020
"
Europe
",11641137,19449.0,287675.0,375.0,4257469.0,9311.0,7095993.0,25828.0,0.0,0.0,0.0,0.0,0.0,Europe,Europe<br>Active Cases 7095993<br>Total Deaths 287675
"
Africa
",1866079,0.0,44540.0,0.0,1560777.0,0.0,260762.0,2423.0,0.0,0.0,0.0,0.0,0.0,Africa,Africa<br>Active Cases 260762<br>Total Deaths 44540
"
Oceania
",40296,7.0,980.0,0.0,32829.0,10.0,6487.0,26.0,0.0,0.0,0.0,0.0,0.0,Oceania,Oceania<br>Active Cases 6487<br>Total Deaths 980
"

",721,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,,<br>Active Cases 47<br>Total Deaths 15
World,49685311,36061.0,1249030.0,1027.0,35268937.0,22287.0,13167344.0,90899.0,6374.0,160.2,0.0,0.0,0.0,World,World<br>Active Cases 13167344<br>Total Deaths 1249030
USA,10059782,1196.0,242239.0,9.0,6392271.0,1063.0,3425272.0,18303.0,30329.0,730.0,155151047.0,467766.0,331685117.0,USA,USA<br>Active Cases 3425272<br>Total Deaths 242239
India,8462080,1195.0,125605.0,0.0,7819886.0,1328.0,516589.0,8944.0,6111.0,91.0,116542304.0,84161.0,1384752705.0,IND,India<br>Active Cases 516589<br>Total Deaths 125605
Brazil,5632505,0.0,162035.0,0.0,5064344.0,0.0,406126.0,8318.0,26433.0,760.0,21900000.0,102774.0,213089916.0,BRA,Brazil<br>Active Cases 406126<br>Total Deaths 162035
